crop_year,crop_year_start,indicator,product_type,source_dataset,total_value_mt,total_value_lkg,months_count
2010-2011,2010,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,1716505.0,34330100.0,12
2010-2011,2010,raw_sugar_production,raw_sugar,raw_production,2399116.0,47982320.0,12
2010-2011,2010,refined_sugar_production,refined_sugar,refined_production,823826.65,16476533.0,11
2010-2011,2010,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,763326.5,15266530.0,12
2011-2012,2011,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,2029866.0,40597320.0,12
2011-2012,2011,raw_sugar_production,raw_sugar,raw_production,2244131.0,44882620.0,12
2011-2012,2011,refined_sugar_production,refined_sugar,refined_production,936186.55,18723731.0,10
2011-2012,2011,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,944871.6,18897432.0,12
2012-2013,2012,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,2184512.0,43690240.0,12
2012-2013,2012,raw_sugar_production,raw_sugar,raw_production,2465116.0,49302320.0,12
2012-2013,2012,refined_sugar_production,refined_sugar,refined_production,1054895.45,21097909.0,10
2012-2013,2012,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,1024782.75,20495655.0,12
2013-2014,2013,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,2202443.0,44048860.0,12
2013-2014,2013,raw_sugar_production,raw_sugar,raw_production,2461808.0,49236160.0,12
2013-2014,2013,refined_sugar_production,refined_sugar,refined_production,1034385.65,20687713.0,12
2013-2014,2013,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,1115935.45,22318709.0,12
2014-2015,2014,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,2240682.0,44813640.0,12
2014-2015,2014,raw_sugar_production,raw_sugar,raw_production,2323817.0,46476340.0,12
2014-2015,2014,refined_sugar_production,refined_sugar,refined_production,1076381.7,21527634.0,12
2014-2015,2014,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,1008300.1,20166002.0,12
2015-2016,2015,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,2163170.0,43263400.0,12
2015-2016,2015,raw_sugar_production,raw_sugar,raw_production,2238872.0,44777440.0,12
2015-2016,2015,refined_sugar_production,refined_sugar,refined_production,957331.4500000001,19146629.0,11
2015-2016,2015,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,878915.35,17578307.0,12
2016-2017,2016,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,2116373.0,42327460.0,12
2016-2017,2016,raw_sugar_production,raw_sugar,raw_production,2500509.0,50010180.0,12
2016-2017,2016,refined_sugar_production,refined_sugar,refined_production,962610.0,19252200.0,12
2016-2017,2016,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,963983.15,19279663.0,12
2017-2018,2017,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,2098353.0,41967060.0,12
2017-2018,2017,raw_sugar_production,raw_sugar,raw_production,2083641.0,41672820.0,12
2017-2018,2017,refined_sugar_production,refined_sugar,refined_production,926677.4,18533548.0,11
2017-2018,2017,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,1091040.0,21820800.0,12
2018-2019,2018,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,1884220.0,37684400.0,12
2018-2019,2018,raw_sugar_production,raw_sugar,raw_production,2074110.0,41482200.0,11
2018-2019,2018,refined_sugar_production,refined_sugar,refined_production,827187.85,16543757.0,12
2018-2019,2018,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,775518.1,15510362.0,12
2019-2020,2019,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,2028816.0,40576320.0,12
2019-2020,2019,raw_sugar_production,raw_sugar,raw_production,2145693.0,42913860.0,11
2019-2020,2019,refined_sugar_production,refined_sugar,refined_production,839542.85,16790857.0,11
2019-2020,2019,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,736129.75,14722595.0,12
2020-2021,2020,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,2033366.0,40667320.0,12
2020-2021,2020,raw_sugar_production,raw_sugar,raw_production,2143018.0,42860360.0,12
2020-2021,2020,refined_sugar_production,refined_sugar,refined_production,758839.75,15176795.0,10
2020-2021,2020,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,909741.6000000001,18194832.0,12
2021-2022,2021,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,1939658.0,38793160.0,12
2021-2022,2021,raw_sugar_production,raw_sugar,raw_production,1820863.0,36417260.0,12
2021-2022,2021,refined_sugar_production,refined_sugar,refined_production,748505.8,14970116.0,12
2021-2022,2021,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,864926.65,17298533.0,12
2022-2023,2022,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,1748403.0,34968060.0,12
2022-2023,2022,raw_sugar_production,raw_sugar,raw_production,1799467.0,35989340.0,11
2022-2023,2022,refined_sugar_production,refined_sugar,refined_production,640908.0,12818160.0,9
2022-2023,2022,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,526244.85,10524897.0,12
2023-2024,2023,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,1812297.0,36245940.0,12
2023-2024,2023,raw_sugar_production,raw_sugar,raw_production,1922586.0,38451720.0,9
2023-2024,2023,refined_sugar_production,refined_sugar,refined_production,691380.25,13827605.0,9
2023-2024,2023,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,602604.8500000001,12052097.0,12
2024-2025,2024,raw_sugar_domestic_withdrawals,raw_sugar,raw_domestic_withdrawals,1960805.0,39216100.0,12
2024-2025,2024,raw_sugar_production,raw_sugar,raw_production,2085534.0,41710680.0,12
2024-2025,2024,refined_sugar_production,refined_sugar,refined_production,618388.3,12367766.0,12
2024-2025,2024,refined_sugar_withdrawals,refined_sugar,refined_withdrawals,672906.0,13458120.0,12
